Comparison	Zawgyi test	test conversion	cwc conversion
DIFFERENT	source zawgyi	converted unicode	source zawgyi
DIFFERENT	ေတာင္းဆိုမႈကို လုပ္ေဆာင္ေနသည္… 	တောင်းဆိုမှုကို လုပ်ဆောင်နေသည်… 	ေတာင္းဆိုမႈကို လုပ္ေဆာင္ေနသည္… 
DIFFERENT	သင္၏ အေရာင္းအ၀ယ္လံုျခံဳေရးကို ကာကြယ္ေပးရန္အတြက္ ေငြေပးသြင္းျခင္းမျပဳလုပ္မီ HuaweiPay အား ထည့္သြင္းပါ။ 	သင်၏ အရောင်းအဝယ်လုံခြုံရေးကို ကာကွယ်ပေးရန်အတွက် ငွေပေးသွင်းခြင်းမပြုလုပ်မီ HuaweiPay အား ထည့်သွင်းပါ။ 	သင္၏ အေရာင္းအ၀ယ္လံုျခံဳေရးကို ကာကြယ္ေပးရန္အတြက္ ေငြေပးသြင္းျခင္းမျပဳလုပ္မီ HuaweiPay အား ထည့္သြင္းပါ။ 
DIFFERENT	အသစ္မြမ္းမံမႈ အထုပ္တြဲမွာ %1$s ျဖစ္ျပီး ႐ုပ္ပုံ %2$d ပုံ ပါဝင္ သင္သိမ္းမထားခဲ့ေသာ ႐ုပ္ပုံမ်ားသည္ အသစ္မြမ္းမံမႈျပီးေနာက္ ဆက္လက္ျပသေတာ့မည္ မဟုတ္ 	အသစ်မွမ်းမံမှု အထုပ်တွဲမှာ %1$s ဖြစ်ပြီး ရုပ်ပုံ %2$d ပုံ ပါဝင် သင်သိမ်းမထားခဲ့သော ရုပ်ပုံများသည် အသစ်မွမ်းမံမှုပြီးနောက် ဆက်လက်ပြသတော့မည် မဟုတ် 	အသစ္မြမ္းမံမႈ အထုပ္တြဲမွာ %1$s ျဖစ္ျပီး ႐ုပ္ပုံ %2$d ပုံ ပါဝင္ သင္သိမ္းမထားခဲ့ေသာ ႐ုပ္ပုံမ်ားသည္ အသစ္မြမ္းမံမႈျပီးေနာက္ ဆက္လက္ျပသေတာ့မည္ မဟုတ္ 
DIFFERENT	ကြ်ႏ္ုပ္၏ အေကာင့္ 	ကျွန်ုပ်၏ အကောင့် 	ကြ်ႏ္ုပ္၏ အေကာင့္ 
DIFFERENT	ႏႈိးစက္အသံ 	နှိုးစက်အသံ 	ႏႈိးစက္အသံ 
DIFFERENT	စာလံုးပံုစံ တပ္ဆင္မည္ 	စာလုံးပုံစံ တပ်ဆင်မည် 	စာလံုးပံုစံ တပ္ဆင္မည္ 
DIFFERENT	သင္းမ္မ်ားသည္ သင္ယခုေရာက္ရိွေနေသာ တည္ေနရာ သတင္းခ်က္အလက္မ်ားကို စုေဆာင္းျခင္းျဖင့္ ေနာက္ထပ္အပို ဝန္ေဆာင္မႈမ်ားကို ေထာက္ပံေပးႏိုင္သည္။ သင့္တည္ေနရာကို ၀င္ေရာက္ခြင့္ျပဳမလား။ 	သင်းမ်များသည် သင်ယခုရောက်ရှိနေသော တည်နေရာ သတင်းချက်အလက်များကို စုဆောင်းခြင်းဖြင့် နောက်ထပ်အပို ဝန်ဆောင်မှုများကို ထောက်ပံပေးနိုင်သည်။ သင့်တည်နေရာကို ၀င်ရောက်ခွင့်ပြုမလား။ 	သင္းမ္မ်ားသည္ သင္ယခုေရာက္ရိွေနေသာ တည္ေနရာ သတင္းခ်က္အလက္မ်ားကို စုေဆာင္းျခင္းျဖင့္ ေနာက္ထပ္အပို ဝန္ေဆာင္မႈမ်ားကို ေထာက္ပံေပးႏိုင္သည္။ သင့္တည္ေနရာကို ၀င္ေရာက္ခြင့္ျပဳမလား။ 
DIFFERENT	မွတ္ဥာဏ္ကတ္ ဖယ္ရွားလိုက္ပါၿပီ 	မှတ်ဉာဏ်ကတ် ဖယ်ရှားလိုက်ပါပြီ 	မွတ္ဥာဏ္ကတ္ ဖယ္ရွားလိုက္ပါၿပီ 
DIFFERENT	သင္တစ္ေန႕လွ်င္ ပံုစံစတုိင္ တစ္ခုကိုသာ ေ၀ဖန္ႏုိင္သည္။ 	သင်တစ်နေ့လျှင် ပုံစံစတိုင် တစ်ခုကိုသာ ဝေဖန်နိုင်သည်။ 	သင္တစ္ေန႕လွ်င္ ပံုစံစတုိင္ တစ္ခုကိုသာ ေ၀ဖန္ႏုိင္သည္။ 
DIFFERENT	စာတိုပံံုစံ 	စာတိုပုံံစံ 	စာတိုပံံုစံ 
DIFFERENT	အၾကံျပဳခ်က္မေပးခင္ သင္သည္ သင္းမ္ကို အသံုးျပဳရန္လိုအပ္သည္။ 	အကြံပြုချက်မပေးခင် သင်သည် သင်းမ်ကို အသုံးပြုရန်လိုအပ်သည်။ 	အၾကံျပဳခ်က္မေပးခင္ သင္သည္ သင္းမ္ကို အသံုးျပဳရန္လိုအပ္သည္။ 
DIFFERENT	ဤအက္ပလီေကး႐ွင္းက သင့္စက္ပစၥည္းကို သတ္မွတ္ေပးရန္ႏွင့္ သင့္ကို အြန္လုိင္းပံုစံစတုိင္ ၀န္ေဆာင္မႈမ်ားျဖင့္ ပံ့ပိုးေပးရန္ သင့္ IMEI သို႕၀င္ေရာက္အသံုးျပဳရန္ လိုအပ္သည္။ ကြ်ႏ္ုပ္တုိ႕ ထုတ္ကုန္မ်ားႏွင့္ ၀န္ေဆာင္မႈမ်ားကို ပိုမုိေကာင္းမြန္ေစရန္ သင့္သံုးစြဲမႈပံုစံအေၾကာင္း အခ်က္အလက္ကို ကြ်ႏ္ုပ္တုိ႕ စုေဆာင္းမည္။ စနစ္ဆက္တင္မ်ားမွ သံုးစြဲသူအေတြ႕အႀကံဳတိုးတက္ေစမႈ ပေရာဂ်က္မ်ားမွ ထြက္ခြာျခင္းျဖင့္ ေဒတာစုေဆာင္းမႈမ်ားကို သင္ပိတ္ႏုိင္သည္။ 	ဤအက်ပလီကေးရှင်းက သင့်စက်ပစ္စည်းကို သတ်မှတ်ပေးရန်နှင့် သင့်ကို အွန်လိုင်းပုံစံစတိုင် ၀န်ဆောင်မှုများဖြင့် ပံ့ပိုးပေးရန် သင့် IMEI သို့ဝင်ရောက်အသုံးပြုရန် လိုအပ်သည်။ ကျွန်ုပ်တို့ ထုတ်ကုန်များနှင့် ၀န်ဆောင်မှုများကို ပိုမိုကောင်းမွန်စေရန် သင့်သုံးစွဲမှုပုံစံအကြောင်း အချက်အလက်ကို ကျွန်ုပ်တို့ စုဆောင်းမည်။ စနစ်ဆက်တင်များမှ သုံးစွဲသူအတွေ့အကြုံတိုးတက်စေမှု ပရောဂျက်များမှ ထွက်ခွာခြင်းဖြင့် ဒေတာစုဆောင်းမှုများကို သင်ပိတ်နိုင်သည်။ 	ဤအက္ပလီေကး႐ွင္းက သင့္စက္ပစၥည္းကို သတ္မွတ္ေပးရန္ႏွင့္ သင့္ကို အြန္လုိင္းပံုစံစတုိင္ ၀န္ေဆာင္မႈမ်ားျဖင့္ ပံ့ပိုးေပးရန္ သင့္ IMEI သို႕၀င္ေရာက္အသံုးျပဳရန္ လိုအပ္သည္။ ကြ်ႏ္ုပ္တုိ႕ ထုတ္ကုန္မ်ားႏွင့္ ၀န္ေဆာင္မႈမ်ားကို ပိုမုိေကာင္းမြန္ေစရန္ သင့္သံုးစြဲမႈပံုစံအေၾကာင္း အခ်က္အလက္ကို ကြ်ႏ္ုပ္တုိ႕ စုေဆာင္းမည္။ စနစ္ဆက္တင္မ်ားမွ သံုးစြဲသူအေတြ႕အႀကံဳတိုးတက္ေစမႈ ပေရာဂ်က္မ်ားမွ ထြက္ခြာျခင္းျဖင့္ ေဒတာစုေဆာင္းမႈမ်ားကို သင္ပိတ္ႏုိင္သည္။ 
DIFFERENT	ဤအက္ပလီေကး႐ွင္းက သင့္စက္ပစၥည္းကို သတ္မွတ္ေပးရန္ႏွင့္ သင့္ကို အြန္လုိင္းပံုစံစတုိင္ ၀န္ေဆာင္မႈမ်ားျဖင့္ ပံ့ပိုးေပးရန္ သင့္ IMEI သို႕၀င္ေရာက္အသံုးျပဳရန္ လိုအပ္သည္။ ကြ်ႏ္ုပ္တုိ႕ ထုတ္ကုန္မ်ားႏွင့္ ၀န္ေဆာင္မႈမ်ားကို ပိုမုိေကာင္းမြန္ေစရန္ သင့္သံုးစြဲမႈပံုစံအေၾကာင္း အခ်က္အလက္ကို ကြ်ႏ္ုပ္တုိ႕ စုေဆာင္းမည္။ သင့္ေဒတာကို သင့္ႏုိင္ငံ သို႕မဟုတ္ ေဒသျပင္ပေနရာမ်ားသို႕ လႊဲေျပာင္းႏုိင္သည္။ ဥေရာပသံုးစြဲသူမ်ား၏ ေဒတာမ်ားကို ဥေရာပသမဂၢအဖြဲ႕၀င္ႏုိင္ငံမ်ားအတြင္း႐ွိ ဆာဗာမ်ားတြင္ သိမ္းဆည္းထားမည္။ ဟြာေ၀းက သင့္ပုဂၢိဳလ္ေရး ေဒတာမ်ားအေပၚ အေျချပဳထားသည့္ ဥပေဒမ်ားကို ကာကြယ္မႈျပဳရန္ အၿမဲတာ၀န္ယူၿပီး ကြ်ႏ္ုပ္တုိ႕ ေဒတာလႊဲေျပာင္းမႈမ်ားတြင္ ဥပေဒႏွင့္ညီေၾကာင္း ေသခ်ာေဆာင္႐ြက္ထားပါသည္။ စနစ္ဆက္တင္မ်ားမွ သံုးစြဲသူအေတြ႕အႀကံဳတိုးတက္ေစမႈ ပေရာဂ်က္မ်ားမ်ားမွ ထြက္ခြင့္ျခင္းျဖင့္ ေဖာျပထားေသာ ေဒတာစုေဆာင္းမႈမ်ားကို သင္ပိတ္ႏုိင္သည္။ 	ဤအက်ပလီကေးရှင်းက သင့်စက်ပစ္စည်းကို သတ်မှတ်ပေးရန်နှင့် သင့်ကို အွန်လိုင်းပုံစံစတိုင် ၀န်ဆောင်မှုများဖြင့် ပံ့ပိုးပေးရန် သင့် IMEI သို့ဝင်ရောက်အသုံးပြုရန် လိုအပ်သည်။ ကျွန်ုပ်တို့ ထုတ်ကုန်များနှင့် ၀န်ဆောင်မှုများကို ပိုမိုကောင်းမွန်စေရန် သင့်သုံးစွဲမှုပုံစံအကြောင်း အချက်အလက်ကို ကျွန်ုပ်တို့ စုဆောင်းမည်။ သင့်ဒေတာကို သင့်နိုင်ငံ သို့မဟုတ် ဒေသပြင်ပနေရာများသို့ လွှဲပြောင်းနိုင်သည်။ ဥရောပသုံးစွဲသူများ၏ ဒေတာများကို ဥရောပသမဂ္ဂအဖွဲ့ဝင်နိုင်ငံများအတွင်းရှိ ဆာဗာများတွင် သိမ်းဆည်းထားမည်။ ဟွာဝေးက သင့်ပုဂ္ဂိုလ်ရေး ဒေတာများအပေါ် အခြေပြုထားသည့် ဥပဒေများကို ကာကွယ်မှုပြုရန် အမြဲတာဝန်ယူပြီး ကျွန်ုပ်တို့ ဒေတာလွှဲပြောင်းမှုများတွင် ဥပဒေနှင့်ညီကြောင်း သေချာဆောင်ရွက်ထားပါသည်။ စနစ်ဆက်တင်များမှ သုံးစွဲသူအတွေ့အကြုံတိုးတက်စေမှု ပရောဂျက်များများမှ ထွက်ခွင့်ခြင်းဖြင့် ဖောပြထားသော ဒေတာစုဆောင်းမှုများကို သင်ပိတ်နိုင်သည်။ 	ဤအက္ပလီေကး႐ွင္းက သင့္စက္ပစၥည္းကို သတ္မွတ္ေပးရန္ႏွင့္ သင့္ကို အြန္လုိင္းပံုစံစတုိင္ ၀န္ေဆာင္မႈမ်ားျဖင့္ ပံ့ပိုးေပးရန္ သင့္ IMEI သို႕၀င္ေရာက္အသံုးျပဳရန္ လိုအပ္သည္။ ကြ်ႏ္ုပ္တုိ႕ ထုတ္ကုန္မ်ားႏွင့္ ၀န္ေဆာင္မႈမ်ားကို ပိုမုိေကာင္းမြန္ေစရန္ သင့္သံုးစြဲမႈပံုစံအေၾကာင္း အခ်က္အလက္ကို ကြ်ႏ္ုပ္တုိ႕ စုေဆာင္းမည္။ သင့္ေဒတာကို သင့္ႏုိင္ငံ သို႕မဟုတ္ ေဒသျပင္ပေနရာမ်ားသို႕ လႊဲေျပာင္းႏုိင္သည္။ ဥေရာပသံုးစြဲသူမ်ား၏ ေဒတာမ်ားကို ဥေရာပသမဂၢအဖြဲ႕၀င္ႏုိင္ငံမ်ားအတြင္း႐ွိ ဆာဗာမ်ားတြင္ သိမ္းဆည္းထားမည္။ ဟြာေ၀းက သင့္ပုဂၢိဳလ္ေရး ေဒတာမ်ားအေပၚ အေျချပဳထားသည့္ ဥပေဒမ်ားကို ကာကြယ္မႈျပဳရန္ အၿမဲတာ၀န္ယူၿပီး ကြ်ႏ္ုပ္တုိ႕ ေဒတာလႊဲေျပာင္းမႈမ်ားတြင္ ဥပေဒႏွင့္ညီေၾကာင္း ေသခ်ာေဆာင္႐ြက္ထားပါသည္။ စနစ္ဆက္တင္မ်ားမွ သံုးစြဲသူအေတြ႕အႀကံဳတိုးတက္ေစမႈ ပေရာဂ်က္မ်ားမ်ားမွ ထြက္ခြင့္ျခင္းျဖင့္ ေဖာျပထားေသာ ေဒတာစုေဆာင္းမႈမ်ားကို သင္ပိတ္ႏုိင္သည္။ 
DIFFERENT	ဖုန္းတြင္းသိုေလွာင္မႈ ျပည့္ေနသည္ တခ်ဳိ႕သင္းမ္မ်ားသာ လုပ္ေဆာင္၍ရသည္ 	ဖုန်းတွင်းသိုလှောင်မှု ပြည့်နေသည် တချို့သင်းမ်များသာ လုပ်ဆောင်၍ရသည် 	ဖုန္းတြင္းသိုေလွာင္မႈ ျပည့္ေနသည္ တခ်ဳိ႕သင္းမ္မ်ားသာ လုပ္ေဆာင္၍ရသည္ 
DIFFERENT	တစ္ခုထက္ပိုေသာ ယံုၾကည္ရသည့္ စက္ပစၥည္းမ်ားေပါင္းထည့္ျခင္းသည္ သင့္ဖုန္း၏ လံုၿခံဳေရးအႏၱရာယ္႐ွိမႈကို ျမင့္တက္လာေစသည့္အတြက္ မေထာက္ခံပါ 	တစ်ခုထက်ပိုသော ယုံကြည်ရသည့် စက်ပစ္စည်းများပေါင်းထည့်ခြင်းသည် သင့်ဖုန်း၏ လုံခြုံရေးအန္တရာယ်ရှိမှုကို မြင့်တက်လာစေသည့်အတွက် မထောက်ခံပါ 	တစ္ခုထက္ပိုေသာ ယံုၾကည္ရသည့္ စက္ပစၥည္းမ်ားေပါင္းထည့္ျခင္းသည္ သင့္ဖုန္း၏ လံုၿခံဳေရးအႏၱရာယ္႐ွိမႈကို ျမင့္တက္လာေစသည့္အတြက္ မေထာက္ခံပါ 
DIFFERENT	ႏိႈးစက္မ်ားကို စီမံပါ 	နှိုးစက်များကို စီမံပါ 	ႏိႈးစက္မ်ားကို စီမံပါ 
DIFFERENT	1. သင့္ႏိုးထေစေသာ စကားစုကို အသံသြင္းေနစဥ္ သင္သည္တိတ္ဆိတ္ေသာ ပတ္၀န္းက်င္တြင္ ႐ွိေနေၾကာင္း ေသခ်ာေအာင္ျပဳလုပ္ၿပီး ႐ွင္းလင္းစြာႏွင့္ ေသေသခ်ာခ်ာ စကားေျပာပါ။ သင့္စကားေျပာဆုိမႈျမန္ႏႈန္းႏွင့္ အသံထြက္သည္ သင္ပံုမွန္စကားေျပာေနမႈႏွင့္ ကြဲျပားမႈ႐ွိမေနသင့္ပါ။\n\n2. သင့္ႏိုးထေစေသာ စကားစုေ႐ြးခ်ယ္ျခင္းက သင့္စက္ပစၥည္း၏ စြမ္းေဆာင္ရည္ကို တုန္႕ျပန္ေပးျခင္းႏွင့္ နီးကပ္စြာ႐ွိေနသင့္သည္၊ အကယ္၍ သင့္စကားစုက နားလည္ရန္ ခက္ခဲပါက စကားစုအႀကံျပဳခ်က္ကို လုိက္နာရန္ႏွင့္ စကားစုအသစ္ကို အသံသြင္းရန္ ႀကိဳးစားပါ။\n\n3. ႏုိးထျခင္း ေအာင္ျမင္မႈႏႈန္းက စကားစုမ်ားကို မွတ္တမ္းသြင္းၿပီး ေလ့က်င့္ေပးေသာ သံုးစြဲသူမ်ားအတြက္ ပိုျမင့္သည္။\n\n4. အကယ္၍ သင္က မွတ္တမ္းသြင္းေနစဥ္၊ သီခ်င္း/ဗြီဒီယို ဖြင့္ေနစဥ္၊ သို႕မဟုတ္ အနီးကပ္ပတ္၀န္းက်င္က ဆူညံေနပါက ဤအဂၤါရပ္သည္ ပံုမွန္အတုိင္းအလုပ္မလုပ္ပါ။ 	1. သင့်နိုးထစေသော စကားစုကို အသံသွင်းနေစဉ် သင်သည်တိတ်ဆိတ်သော ပတ်ဝန်းကျင်တွင် ရှိနေကြောင်း သေချာအောင်ပြုလုပ်ပြီး ရှင်းလင်းစွာနှင့် သေသေချာချာ စကားပြောပါ။ သင့်စကားပြောဆိုမှုမြန်နှုန်းနှင့် အသံထွက်သည် သင်ပုံမှန်စကားပြောနေမှုနှင့် ကွဲပြားမှုရှိမနေသင့်ပါ။\n\n2. သင့်နိုးထစေသော စကားစုရွေးချယ်ခြင်းက သင့်စက်ပစ္စည်း၏ စွမ်းဆောင်ရည်ကို တုန့်ပြန်ပေးခြင်းနှင့် နီးကပ်စွာရှိနေသင့်သည်၊ အကယ်၍ သင့်စကားစုက နားလည်ရန် ခက်ခဲပါက စကားစုအကြံပြုချက်ကို လိုက်နာရန်နှင့် စကားစုအသစ်ကို အသံသွင်းရန် ကြိုးစားပါ။\n\n3. နိုးထခြင်း အောင်မြင်မှုနှုန်းက စကားစုများကို မှတ်တမ်းသွင်းပြီး လေ့ကျင့်ပေးသော သုံးစွဲသူများအတွက် ပိုမြင့်သည်။\n\n4. အကယ်၍ သင်က မှတ်တမ်းသွင်းနေစဉ်၊ သီချင်း/ဗွီဒီယို ဖွင့်နေစဉ်၊ သို့မဟုတ် အနီးကပ်ပတ်ဝန်းကျင်က ဆူညံနေပါက ဤအင်္ဂါရပ်သည် ပုံမှန်အတိုင်းအလုပ်မလုပ်ပါ။ 	1. သင့္ႏိုးထေစေသာ စကားစုကို အသံသြင္းေနစဥ္ သင္သည္တိတ္ဆိတ္ေသာ ပတ္၀န္းက်င္တြင္ ႐ွိေနေၾကာင္း ေသခ်ာေအာင္ျပဳလုပ္ၿပီး ႐ွင္းလင္းစြာႏွင့္ ေသေသခ်ာခ်ာ စကားေျပာပါ။ သင့္စကားေျပာဆုိမႈျမန္ႏႈန္းႏွင့္ အသံထြက္သည္ သင္ပံုမွန္စကားေျပာေနမႈႏွင့္ ကြဲျပားမႈ႐ွိမေနသင့္ပါ။\n\n2. သင့္ႏိုးထေစေသာ စကားစုေ႐ြးခ်ယ္ျခင္းက သင့္စက္ပစၥည္း၏ စြမ္းေဆာင္ရည္ကို တုန္႕ျပန္ေပးျခင္းႏွင့္ နီးကပ္စြာ႐ွိေနသင့္သည္၊ အကယ္၍ သင့္စကားစုက နားလည္ရန္ ခက္ခဲပါက စကားစုအႀကံျပဳခ်က္ကို လုိက္နာရန္ႏွင့္ စကားစုအသစ္ကို အသံသြင္းရန္ ႀကိဳးစားပါ။\n\n3. ႏုိးထျခင္း ေအာင္ျမင္မႈႏႈန္းက စကားစုမ်ားကို မွတ္တမ္းသြင္းၿပီး ေလ့က်င့္ေပးေသာ သံုးစြဲသူမ်ားအတြက္ ပိုျမင့္သည္။\n\n4. အကယ္၍ သင္က မွတ္တမ္းသြင္းေနစဥ္၊ သီခ်င္း/ဗြီဒီယို ဖြင့္ေနစဥ္၊ သို႕မဟုတ္ အနီးကပ္ပတ္၀န္းက်င္က ဆူညံေနပါက ဤအဂၤါရပ္သည္ ပံုမွန္အတုိင္းအလုပ္မလုပ္ပါ။ 
DIFFERENT	သင့္ဖုန္းက သင္၏ အသံကို မွတ္မိႏုိင္စြမ္းရည္ကို တိုးႁမွင့္ပါ 	သင့်ဖုန်းက သင်၏ အသံကို မှတ်မိနိုင်စွမ်းရည်ကို တိုးမြှင့်ပါ 	သင့္ဖုန္းက သင္၏ အသံကို မွတ္မိႏုိင္စြမ္းရည္ကို တိုးႁမွင့္ပါ 
DIFFERENT	အသံျဖင့္ႏိုးထျခင္းအတြက္ ဗြီဒီယို ၫႊန္ၾကားခ်က္မ်ား 	အသံဖြင့်နိုးထခြင်းအတွက် ဗွီဒီယို ညွှန်ကြားချက်များ 	အသံျဖင့္ႏိုးထျခင္းအတြက္ ဗြီဒီယို ၫႊန္ၾကားခ်က္မ်ား 
DIFFERENT	စကားေျပာ အမိန္႔ေပး ဘာသာစကားေျပာင္းလဲမည္လား? 	စကားပြော အမိန့်ပေး ဘာသာစကားပြောင်းလဲမည်လား? 	စကားေျပာ အမိန္႔ေပး ဘာသာစကားေျပာင္းလဲမည္လား? 
DIFFERENT	မွတ္တမ္းတင္သည့္ အပလီေကးရွင္းသည္ ေနာက္ခံတြင္ ဖြင့္ၿပီးသားျဖစ္သည္။ ေက်းဇူးျပဳ၍ ၎ကို ဦးစြာပိတ္ပါ။ 	မှတ်တမ်းတင်သည့် အပလီကေးရှင်းသည် နောက်ခံတွင် ဖွင့်ပြီးသားဖြစ်သည်။ ကျေးဇူးပြု၍ ၎င်းကို ဦးစွာပိတ်ပါ။ 	မွတ္တမ္းတင္သည့္ အပလီေကးရွင္းသည္ ေနာက္ခံတြင္ ဖြင့္ၿပီးသားျဖစ္သည္။ ေက်းဇူးျပဳ၍ ၎ကို ဦးစြာပိတ္ပါ။ 
